Date,Open,High,Low,Close,Adj Close,Volume
2015-03-23,1231.670044,1240.760010,1229.380005,1240.410034,1240.410034,30085500
2015-03-30,1246.689941,1259.969971,1239.599976,1255.660034,1255.660034,129334700
2015-04-06,1250.239990,1266.000000,1248.170044,1264.770020,1264.770020,133423700
2015-04-13,1265.489990,1278.630005,1248.229980,1251.859985,1251.859985,172851700
2015-04-20,1257.609985,1273.250000,1255.040039,1267.540039,1267.540039,166045000
2015-04-27,1269.869995,1275.839966,1216.099976,1228.109985,1228.109985,189490600
2015-05-04,1230.300049,1240.630005,1211.130005,1234.930054,1234.930054,177538200
2015-05-11,1234.589966,1245.900024,1218.369995,1243.949951,1243.949951,158242700
2015-05-18,1242.079956,1261.020020,1240.839966,1252.219971,1252.219971,148524200
2015-05-25,1248.109985,1255.050049,1233.719971,1246.530029,1246.530029,133778300
2015-06-01,1252.020020,1264.939941,1238.650024,1261.010010,1261.010010,156047800
2015-06-08,1259.670044,1270.790039,1242.359985,1265.020020,1265.020020,152140500
2015-06-15,1259.380005,1287.060059,1247.520020,1284.660034,1284.660034,171525200
2015-06-22,1290.560059,1296.000000,1274.030029,1279.800049,1279.800049,174637700
2015-06-29,1269.359985,1273.949951,1244.630005,1248.260010,1248.260010,144813000
2015-07-06,1239.229980,1253.199951,1225.979980,1252.020020,1252.020020,180656800
2015-07-13,1258.790039,1275.900024,1258.790039,1267.089966,1267.089966,159504900
2015-07-20,1268.819946,1268.890015,1225.430054,1225.989990,1225.989990,179264800
2015-07-27,1219.209961,1244.979980,1205.189941,1238.680054,1238.680054,192541400
2015-08-03,1238.319946,1243.160034,1200.410034,1206.900024,1206.900024,188410500
2015-08-10,1212.420044,1223.390015,1189.420044,1212.689941,1212.689941,175093600
2015-08-17,1209.239990,1225.089966,1152.369995,1156.790039,1156.790039,182713100
2015-08-24,1119.760010,1163.050049,1102.579956,1162.910034,1162.910034,260599700
2015-08-31,1161.010010,1164.890015,1124.459961,1136.170044,1136.170044,187173600
2015-09-07,1139.069946,1170.199951,1139.069946,1157.790039,1157.790039,140456800
2015-09-14,1158.030029,1193.989990,1151.310059,1163.349976,1163.349976,200547700
2015-09-21,1165.040039,1177.959961,1119.300049,1122.790039,1122.790039,180715400
2015-09-28,1121.869995,1121.869995,1078.630005,1114.119995,1114.119995,213462900
2015-10-05,1115.819946,1168.760010,1115.819946,1165.359985,1165.359985,208494000
2015-10-12,1165.449951,1169.709961,1135.670044,1162.310059,1162.310059,172414800
2015-10-19,1161.800049,1169.609985,1144.900024,1166.060059,1166.060059,187859200
2015-10-26,1165.770020,1178.780029,1139.920044,1161.859985,1161.859985,205659300
2015-11-02,1161.949951,1199.959961,1161.949951,1199.750000,1199.750000,205318600
2015-11-09,1199.579956,1199.579956,1144.339966,1146.550049,1146.550049,196913200
2015-11-16,1146.369995,1178.739990,1140.760010,1175.150024,1175.150024,196526900
2015-11-23,1174.890015,1203.689941,1172.880005,1202.380005,1202.380005,117926900
2015-11-30,1202.770020,1205.079956,1168.150024,1183.400024,1183.400024,204291900
2015-12-07,1183.069946,1183.069946,1121.270020,1123.609985,1123.609985,206188500
2015-12-14,1123.630005,1151.400024,1108.760010,1121.020020,1121.020020,245718900
2015-12-21,1122.160034,1159.709961,1120.609985,1154.760010,1154.760010,121770900
2015-12-28,1153.989990,1160.939941,1135.569946,1135.890015,1135.890015,100572700
2016-01-04,1134.079956,1134.079956,1045.109985,1046.199951,1046.199951,220896900
2016-01-11,1046.640015,1056.920044,983.979980,1007.719971,1007.719971,252911500
2016-01-18,1010.299988,1021.840027,958.479980,1020.659973,1020.659973,213249900
2016-01-25,1019.429993,1035.380005,996.039978,1035.380005,1035.380005,237039400
2016-02-01,1033.530029,1037.270020,985.619995,985.619995,985.619995,240819300
2016-02-08,982.150024,983.450012,943.099976,971.989990,971.989990,254374900
2016-02-15,972.450012,1016.280029,972.450012,1010.010010,1010.010010,181615500
2016-02-22,1010.390015,1039.709961,996.700012,1037.180054,1037.180054,207293300
2016-02-29,1037.209961,1088.239990,1033.670044,1081.930054,1081.930054,252061700
2016-03-07,1081.280029,1094.500000,1054.560059,1087.560059,1087.560059,221033600
2016-03-14,1086.969971,1102.979980,1063.660034,1101.670044,1101.670044,221387700
2016-03-21,1101.459961,1103.630005,1065.619995,1079.540039,1079.540039,138422900
2016-03-28,1079.939941,1118.390015,1073.459961,1117.680054,1117.680054,176870000
2016-04-04,1117.689941,1119.410034,1088.560059,1097.310059,1097.310059,185522100
2016-04-11,1097.959961,1132.140015,1091.650024,1130.920044,1130.920044,194667300
2016-04-18,1129.719971,1147.719971,1125.160034,1146.689941,1146.689941,193644600
2016-04-25,1146.260010,1156.069946,1124.260010,1130.849976,1130.849976,199916000
2016-05-02,1131.209961,1140.920044,1101.569946,1114.719971,1114.719971,198779400
2016-05-09,1114.719971,1129.040039,1099.439941,1102.439941,1102.439941,185730700
2016-05-16,1103.229980,1119.680054,1085.939941,1112.280029,1112.280029,190660600
2016-05-23,1112.469971,1150.449951,1110.869995,1150.449951,1150.449951,168521200
2016-05-30,1150.599976,1170.770020,1148.599976,1164.130005,1164.130005,153000800
2016-06-06,1164.260010,1190.170044,1161.270020,1163.930054,1163.930054,173441400
2016-06-13,1162.530029,1164.900024,1133.099976,1144.699951,1144.699951,192274300
2016-06-20,1146.390015,1172.219971,1123.489990,1127.540039,1127.540039,207638700
2016-06-27,1123.810059,1161.050049,1085.880005,1156.770020,1156.770020,221404800
2016-07-04,1155.459961,1178.119995,1131.709961,1177.359985,1177.359985,147798100
2016-07-11,1179.189941,1211.770020,1179.189941,1205.310059,1205.310059,174416900
2016-07-18,1205.290039,1214.160034,1198.400024,1212.890015,1212.890015,156516900
2016-07-25,1212.839966,1224.770020,1207.199951,1219.939941,1219.939941,181981700
2016-08-01,1220.300049,1232.869995,1198.729980,1231.300049,1231.300049,185135400
